Miasto,Powiat,Województwo,Powierzchnia,Liczba ludności,Gęstość zaludnienia,link,lat,lng,SIMC,Kategoria
Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,723,12058,1668,https://pl.wikipedia.org/wiki/Aleksandr%C3%B3w_Kujawski,52.876389,18.693333,0985384,>10k
Aleksandrów Łódzki,zgierski,łódzkie,1382,21754,1574,https://pl.wikipedia.org/wiki/Aleksandr%C3%B3w_%C5%81%C3%B3dzki,51.819444,19.304444,0958654,>10k
Alwernia,chrzanowski,małopolskie,888,3336,376,https://pl.wikipedia.org/wiki/Alwernia,50.0625,19.541944,0314454,<10k
Andrychów,wadowicki,małopolskie,1033,19837,1920,https://pl.wikipedia.org/wiki/Andrych%C3%B3w,49.855,19.341111,0924023,>10k
Annopol,kraśnicki,lubelskie,773,2436,315,https://pl.wikipedia.org/wiki/Annopol,50.885556,21.857778,0786213,<10k
Augustów,augustowski,podlaskie,8090,29946,370,https://pl.wikipedia.org/wiki/August%C3%B3w,53.843611,22.9775,0977539,>10k
Babimost,zielonogórski,lubuskie,365,3901,1069,https://pl.wikipedia.org/wiki/Babimost,52.1649,15.829081,0988342,<10k
Baborów,głubczycki,opolskie,1186,2861,241,https://pl.wikipedia.org/wiki/Babor%C3%B3w,50.157778,17.98,0965200,<10k
Baranów Sandomierski,tarnobrzeski,podkarpackie,915,1430,156,https://pl.wikipedia.org/wiki/Baran%C3%B3w_Sandomierski,50.499722,21.541389,0980352,<10k
Barcin,żniński,kujawsko-pomorskie,370,7313,1976,https://pl.wikipedia.org/wiki/Barcin,52.863889,17.947222,0928825,<10k
Barczewo,olsztyński,warmińsko-mazurskie,458,7509,1640,https://pl.wikipedia.org/wiki/Barczewo,53.836667,20.695278,0964577,<10k
Bardo,ząbkowicki,dolnośląskie,471,2497,530,https://pl.wikipedia.org/wiki/Bardo_(wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie),50.508611,16.743889,0983801,<10k
Barlinek,myśliborski,zachodniopomorskie,1755,13611,776,https://pl.wikipedia.org/wiki/Barlinek,52.992222,15.216389,0935268,>10k
Bartoszyce,bartoszycki,warmińsko-mazurskie,1179,22984,1949,https://pl.wikipedia.org/wiki/Bartoszyce,54.248889,20.808056,0964583,>10k
